iter	Passed	Remaining
0	0	172
1	1	152
2	2	148
3	2	141
4	3	137
5	4	135
6	5	151
7	6	153
8	7	157
9	8	168
10	9	164
11	10	160
12	10	157
13	11	154
14	12	151
15	12	149
16	13	150
17	14	148
18	15	148
19	16	148
20	18	154
21	18	152
22	19	150
23	20	147
24	20	145
25	21	143
26	22	145
27	23	143
28	24	142
29	24	140
30	25	140
31	28	152
32	29	151
33	30	149
34	31	147
35	32	147
36	33	145
37	33	143
38	34	142
39	35	140
40	36	141
41	37	140
42	39	143
43	40	143
44	40	141
45	41	139
46	42	137
47	43	137
48	44	135
49	44	133
50	45	132
51	45	130
52	46	129
53	47	129
54	49	131
55	50	130
56	51	130
57	52	128
58	53	127
59	53	125
60	54	124
61	55	123
62	56	122
63	56	121
64	57	119
65	58	119
66	59	118
67	60	117
68	61	116
69	62	115
70	62	114
71	63	113
72	64	111
73	64	110
74	65	109
75	66	108
76	67	107
77	68	107
78	71	110
79	72	109
80	73	107
81	74	106
82	75	106
83	76	105
84	76	103
85	77	102
86	78	101
87	78	100
88	79	99
89	81	99
90	82	99
91	83	98
92	84	96
93	84	95
94	85	94
95	86	94
96	88	93
97	89	93
98	90	92
99	91	91
100	93	91
101	94	90
102	94	89
103	95	88
104	96	87
105	97	86
106	97	84
107	98	83
108	98	82
109	99	81
110	101	81
111	102	80
112	103	79
113	104	78
114	105	77
115	105	76
116	106	75
117	107	74
118	107	73
119	108	72
120	109	71
121	109	70
122	110	69
123	112	68
124	112	67
125	113	66
126	114	65
127	115	64
128	115	63
129	116	62
130	117	61
131	117	60
132	118	59
133	119	59
134	120	58
135	121	57
136	122	56
137	123	55
138	124	54
139	124	53
140	125	52
141	126	51
142	126	50
143	127	49
144	128	48
145	129	47
146	131	47
147	132	46
148	133	45
149	133	44
150	134	43
151	135	42
152	136	41
153	136	40
154	137	39
155	138	38
156	138	38
157	139	37
158	141	36
159	142	35
160	142	34
161	143	33
162	144	32
163	145	31
164	145	30
165	146	30
166	147	29
167	148	28
168	150	27
169	151	26
170	153	25
171	153	25
172	154	24
173	155	23
174	156	22
175	157	21
176	158	20
177	159	19
178	164	19
179	164	18
180	165	17
181	166	16
182	167	15
183	168	14
184	168	13
185	169	12
186	170	11
187	171	10
188	173	10
189	174	9
190	175	8
191	177	7
192	178	6
193	178	5
194	179	4
195	180	3
196	181	2
197	184	1
198	185	0
199	185	0
