iter	Passed	Remaining
0	2	2200
1	5	2612
2	7	2420
3	9	2296
4	11	2356
5	15	2508
6	17	2463
7	21	2680
8	24	2657
9	25	2554
10	27	2465
11	30	2483
12	44	3398
13	46	3250
14	47	3113
15	52	3222
16	54	3126
17	56	3057
18	57	2971
19	58	2889
20	60	2826
21	62	2766
22	64	2722
23	66	2687
24	67	2630
25	69	2588
26	70	2558
27	72	2520
28	74	2486
29	75	2442
30	76	2400
31	79	2401
32	82	2426
33	84	2388
34	86	2377
35	87	2341
36	88	2306
37	89	2273
38	93	2295
39	94	2267
40	95	2240
41	97	2221
42	98	2197
43	100	2173
44	101	2151
45	102	2125
46	103	2101
47	104	2079
48	107	2077
49	108	2061
50	109	2046
51	111	2027
52	112	2011
53	113	1994
54	115	1977
55	116	1963
56	117	1949
57	119	1946
58	121	1931
59	123	1929
60	125	1936
61	127	1921
62	128	1905
63	129	1889
64	130	1876
65	131	1862
66	132	1847
67	133	1836
68	135	1823
69	136	1811
70	139	1824
71	141	1817
72	142	1812
73	144	1802
74	145	1790
75	148	1803
76	151	1813
77	152	1804
78	153	1794
79	155	1783
80	157	1782
81	158	1773
82	159	1756
83	160	1746
84	161	1741
85	163	1738
86	165	1737
87	166	1729
88	169	1734
89	171	1730
90	172	1721
91	175	1736
92	177	1727
93	178	1719
94	179	1713
95	182	1719
96	183	1712
97	185	1704
98	186	1697
99	190	1717
100	192	1712
101	193	1707
102	195	1699
103	196	1691
104	197	1683
105	198	1675
106	200	1669
107	201	1662
108	203	1665
109	205	1659
110	206	1652
111	207	1648
112	209	1641
113	210	1634
114	211	1626
115	212	1619
116	213	1610
117	214	1603
118	218	1618
119	220	1614
120	222	1613
121	223	1605
122	224	1599
123	225	1593
124	226	1586
125	227	1580
126	228	1572
127	231	1575
128	232	1571
129	234	1566
130	235	1561
131	236	1558
132	238	1552
133	239	1546
134	240	1542
135	241	1537
136	243	1531
137	245	1532
138	246	1528
139	247	1522
140	249	1521
141	250	1513
142	251	1508
143	252	1502
144	253	1497
145	255	1491
146	256	1486
147	257	1480
148	258	1477
149	260	1474
150	261	1472
151	263	1470
152	264	1466
153	266	1462
154	267	1457
155	268	1452
156	269	1448
157	272	1452
158	274	1449
159	275	1447
160	276	1440
161	277	1437
162	279	1434
163	280	1430
164	281	1425
165	283	1425
166	285	1423
167	286	1418
168	289	1424
169	292	1427
170	294	1427
171	297	1431
172	298	1427
173	301	1429
174	302	1425
175	304	1426
176	306	1423
177	307	1419
178	308	1415
179	309	1411
180	310	1406
181	311	1402
182	315	1407
183	317	1409
184	319	1405
185	320	1403
186	322	1401
187	324	1399
188	325	1397
189	328	1399
190	329	1396
191	331	1394
192	332	1390
193	333	1387
194	335	1385
195	337	1384
196	338	1381
197	341	1384
198	342	1380
199	344	1377
200	346	1375
201	348	1377
202	350	1377
203	352	1373
204	353	1369
205	354	1367
206	359	1378
207	361	1375
208	362	1371
209	364	1369
210	365	1366
211	366	1363
212	370	1369
213	375	1378
214	378	1380
215	379	1378
216	381	1376
217	385	1382
218	387	1380
219	389	1379
220	390	1375
221	391	1373
222	393	1369
223	394	1365
224	395	1362
225	396	1358
226	398	1358
227	400	1355
228	402	1355
229	403	1352
230	405	1348
231	406	1345
232	407	1341
233	408	1337
234	411	1338
235	413	1338
236	416	1341
237	417	1338
238	419	1335
239	421	1333
240	427	1345
241	429	1344
242	430	1340
243	431	1337
244	432	1334
245	434	1330
246	435	1326
247	436	1322
248	438	1323
249	441	1323
250	442	1321
251	443	1317
252	445	1314
253	446	1310
254	447	1307
255	448	1303
256	449	1300
257	451	1297
258	452	1294
259	453	1290
260	454	1287
261	455	1284
262	457	1280
263	458	1277
264	463	1285
265	464	1282
266	466	1281
267	468	1279
268	469	1276
269	471	1273
270	472	1270
271	474	1270
272	476	1269
273	477	1266
274	479	1262
275	481	1262
276	482	1259
277	483	1256
278	485	1253
279	486	1250
280	489	1252
281	491	1251
282	492	1248
283	495	1248
284	497	1247
285	498	1245
286	500	1243
287	501	1240
288	503	1237
289	504	1236
290	506	1233
291	507	1230
292	508	1227
293	509	1224
294	511	1221
295	513	1221
296	515	1219
297	519	1223
298	520	1220
299	521	1217
300	523	1216
301	525	1213
302	528	1216
303	531	1216
304	532	1214
305	534	1211
306	535	1208
307	537	1207
308	546	1222
309	548	1220
310	549	1218
311	551	1215
312	552	1212
313	553	1209
314	556	1210
315	558	1209
316	561	1210
317	563	1208
318	564	1205
319	566	1203
320	567	1200
321	569	1198
322	571	1197
323	576	1202
324	577	1200
325	579	1197
326	580	1194
327	581	1191
328	582	1188
329	586	1190
330	588	1188
331	590	1187
332	591	1184
333	592	1182
334	594	1179
335	595	1176
336	596	1173
337	599	1173
338	601	1171
339	603	1171
340	605	1169
341	606	1166
342	607	1163
343	609	1161
344	610	1159
345	613	1159
346	615	1157
347	617	1156
348	618	1153
349	619	1151
350	621	1148
351	622	1145
352	623	1142
353	628	1146
354	629	1143
355	630	1141
356	633	1140
357	634	1137
358	636	1136
359	637	1133
360	638	1130
361	641	1130
362	642	1128
363	644	1125
364	647	1125
365	648	1123
366	650	1122
367	652	1120
368	657	1124
369	660	1123
370	661	1121
371	663	1119
372	664	1117
373	667	1116
374	669	1115
375	670	1113
376	673	1112
377	675	1110
378	676	1108
379	677	1105
380	678	1103
381	680	1100
382	683	1100
383	685	1099
384	686	1097
385	690	1098
386	691	1095
387	693	1093
388	701	1102
389	703	1099
390	705	1098
391	706	1095
392	708	1094
393	712	1095
394	714	1094
395	716	1093
396	718	1091
397	719	1088
398	720	1085
399	722	1083
400	723	1081
401	725	1078
402	726	1076
403	728	1074
404	730	1073
405	732	1071
406	733	1068
407	736	1067
408	738	1067
409	739	1064
410	741	1062
411	743	1061
412	745	1058
413	746	1056
414	747	1054
415	748	1051
416	750	1048
417	753	1049
418	754	1046
419	757	1045
420	758	1043
421	759	1040
422	761	1038
423	762	1035
424	763	1032
425	764	1030
426	767	1030
427	769	1027
428	771	1026
429	772	1024
430	773	1021
431	775	1019
432	776	1016
433	777	1013
434	778	1011
435	781	1011
436	783	1009
437	784	1006
438	788	1007
439	789	1005
440	792	1004
441	793	1001
442	796	1001
443	797	998
444	799	997
445	800	994
446	802	992
447	803	989
448	804	987
449	805	984
450	806	981
451	807	979
452	811	980
453	813	977
454	814	975
455	815	973
456	817	970
457	818	968
458	819	965
459	820	963
460	822	961
461	824	959
462	825	957
463	827	955
464	828	953
465	830	951
466	831	948
467	832	946
468	833	943
469	834	941
470	840	944
471	842	942
472	845	941
473	846	939
474	847	936
475	848	934
476	850	932
477	851	930
478	853	928
479	855	926
480	856	924
481	857	921
482	859	920
483	860	917
484	864	918
485	866	915
486	868	914
487	872	915
488	873	912
489	875	911
490	881	913
491	884	913
492	885	910
493	887	908
494	888	906
495	889	903
496	891	901
497	892	900
498	894	898
499	896	896
500	899	895
501	900	893
502	902	891
503	903	889
504	904	886
505	906	885
506	908	883
507	909	880
508	914	882
509	916	880
510	918	879
511	920	877
512	922	876
513	924	873
514	925	871
515	926	869
516	928	867
517	930	866
518	932	863
519	933	862
520	935	860
521	937	858
522	938	855
523	939	853
524	940	851
525	942	849
526	944	848
527	946	846
528	949	845
529	950	842
530	951	840
531	952	838
532	954	835
533	955	834
534	960	834
535	962	832
536	964	831
537	966	830
538	968	828
539	969	825
540	970	823
541	974	823
542	979	824
543	980	821
544	981	819
545	983	817
546	984	815
547	985	813
548	995	817
549	996	815
550	997	812
551	998	810
552	1000	808
553	1001	806
554	1005	805
555	1006	803
556	1009	802
557	1011	801
558	1012	798
559	1016	798
560	1018	797
561	1021	795
562	1023	794
563	1027	794
564	1036	798
565	1039	797
566	1042	796
567	1046	796
568	1049	794
569	1051	793
570	1052	790
571	1054	788
572	1055	786
573	1056	784
574	1058	782
575	1061	781
576	1062	779
577	1065	778
578	1066	775
579	1068	773
580	1069	771
581	1070	768
582	1071	766
583	1074	765
584	1076	763
585	1077	761
586	1079	759
587	1080	757
588	1081	754
589	1082	752
590	1084	750
591	1085	747
592	1088	746
593	1091	746
594	1093	744
595	1095	742
596	1096	740
597	1098	738
598	1099	736
599	1100	733
600	1102	731
601	1104	730
602	1106	728
603	1109	727
604	1110	724
605	1111	722
606	1112	720
607	1113	718
608	1114	715
609	1116	713
610	1119	712
611	1120	710
612	1122	708
613	1123	706
614	1125	704
615	1126	702
616	1127	699
617	1128	697
618	1129	695
619	1133	694
620	1135	692
621	1136	690
622	1138	688
623	1139	686
624	1140	684
625	1141	682
626	1143	679
627	1144	677
628	1146	676
629	1150	675
630	1152	673
631	1153	671
632	1154	669
633	1156	667
634	1157	665
635	1160	663
636	1161	661
637	1164	660
638	1166	658
639	1167	656
640	1169	654
641	1170	652
642	1172	650
643	1173	648
644	1175	646
645	1177	645
646	1178	643
647	1179	640
648	1181	638
649	1182	636
650	1183	634
651	1184	632
652	1187	630
653	1188	628
654	1190	627
655	1191	625
656	1193	622
657	1194	620
658	1195	618
659	1196	616
660	1197	614
661	1200	612
662	1201	610
663	1203	608
664	1205	607
665	1207	605
666	1208	603
667	1210	601
668	1211	599
669	1213	597
670	1216	596
671	1217	594
672	1219	592
673	1220	590
674	1221	588
675	1222	586
676	1224	584
677	1225	582
678	1229	581
679	1230	578
680	1231	576
681	1233	575
682	1234	573
683	1236	571
684	1237	569
685	1238	567
686	1240	564
687	1243	563
688	1244	561
689	1246	560
690	1248	558
691	1249	556
692	1250	553
693	1251	551
694	1252	549
695	1253	547
696	1256	546
697	1258	544
698	1260	542
699	1261	540
700	1263	538
701	1264	536
702	1265	534
703	1266	532
704	1267	530
705	1269	528
706	1271	527
707	1273	525
708	1275	523
709	1276	521
710	1277	519
711	1278	517
712	1279	515
713	1280	512
714	1281	510
715	1283	509
716	1285	507
717	1289	506
718	1291	504
719	1293	503
720	1295	501
721	1296	499
722	1298	497
723	1300	495
724	1302	493
725	1304	492
726	1305	490
727	1306	488
728	1308	486
729	1309	484
730	1310	482
731	1315	481
732	1318	480
733	1320	478
734	1321	476
735	1323	474
736	1324	472
737	1326	470
738	1328	469
739	1331	467
740	1332	465
741	1334	463
742	1335	461
743	1336	459
744	1337	457
745	1338	455
746	1341	454
747	1342	452
748	1345	450
749	1347	449
750	1348	447
751	1350	445
752	1351	443
753	1352	441
754	1355	439
755	1357	437
756	1358	435
757	1360	434
758	1361	432
759	1362	430
760	1364	428
761	1365	426
